SerialNumber,TypeID,Description,LastCheckIn
10286678,20,Rm 2211,10/21/2024 6:26
10205809,59,Rm 308,10/21/2024 8:37
10205814,59,Rm 328,10/21/2024 5:59
10328800,27,Rm 3304,10/21/2024 6:53
10205079,50,Rm 2212,10/21/2024 6:41
10206748,22,Rm 2208,10/21/2024 8:39
8804283,17,Rm 309,10/21/2024 7:03
10237907,25,Rm 3315,10/21/2024 5:35
10328382,27,Rm 3317,10/21/2024 6:19
6651350,11,Rm 2106,10/21/2024 9:03
10328439,27,Rm 3309 B,10/21/2024 7:43
10286674,25,Rm 3308,10/21/2024 6:51
10327824,62,Rm 3309 A,10/21/2024 8:44
10192637,18,Rm 221,10/21/2024 7:18
9949992,20,Rm 2221,10/21/2024 7:59
8804222,17,Rm 305,10/21/2024 5:36
8638313,27,Rm 3307,10/21/2024 8:33
10285707,25,Rm 3301,10/21/2024 5:44
8803695,16,Rm 214,10/21/2024 7:46
8861152,22,Rm 2211A,10/21/2024 7:06
10192206,22,Rm 2203,10/21/2024 8:47
10205305,26,Rm 3201,10/21/2024 5:28
10205056,19,Rm 309,10/21/2024 9:03
10238006,25,Rm 3323,10/21/2024 8:50
10205087,26,Rm 3225,10/21/2024 6:43
10262246,25,Rm 3306,10/21/2024 5:45
8804226,16,Rm 236,10/21/2024 5:16
10192155,8,Rm 2115,10/21/2024 8:58
10205897,23,Rm 2316,10/21/2024 9:08
10205935,23,Rm 2306,10/21/2024 5:31
8803705,10,Rm 101,10/21/2024 5:49
10192290,19,Rm 317,10/21/2024 6:30
10238015,25,Rm 3314,10/21/2024 8:06
10192492,9,Rm 3116,10/21/2024 6:56
10327769,62,Rm 3319,10/21/2024 8:18
10261698,17,Rm 301,10/21/2024 8:13
10205219,51,Rm 2312,10/21/2024 7:48
10205660,9,Rm 3117,10/21/2024 6:47
10205030,58,Rm 236,10/21/2024 7:48
10206680,27,Rm 3302,10/21/2024 6:02
9154586,17,Rm 334,10/21/2024 8:29
10205843,59,Rm 303,10/21/2024 5:10
10205594,18,Rm 208,10/21/2024 7:06
10206925,59,Rm 319,10/21/2024 7:00
10205631,22,Rm 2207,10/21/2024 7:18
10206675,57,Rm 103,10/21/2024 7:07
10327702,62,Rm 3312B,10/21/2024 8:29
6598539,11,Rm 2103,10/21/2024 7:50
10285722,20,Rm 2207,10/21/2024 6:23
10205813,59,Rm 305,10/21/2024 6:49
10205026,19,Rm 321,10/21/2024 8:23
10328409,27,Rm 3310,10/21/2024 8:57
10205032,7,Rm 110,10/21/2024 7:57
10205889,50,Rm 2218,10/21/2024 6:18
10262123,27,Rm 3321,10/21/2024 8:30
10285849,21,Rm 2305,10/21/2024 8:06
10329014,62,Rm 3302,10/21/2024 8:21
10262162,10,Rm 111,10/21/2024 5:12
10192159,49,Rm 2102,10/21/2024 8:36
10286083,21,Rm 2314,10/21/2024 6:03
10285704,20,Rm 2206,10/21/2024 6:08
9134663,34,Public Restroom Right by Room 2109,10/21/2024 6:14
10261717,25,Rm 3304,10/21/2024 5:38
10205826,59,Rm 329,10/21/2024 5:21
10192483,9,Rm 3103,10/21/2024 7:39
10205656,9,Rm 3120,10/21/2024 7:09
10205010,59,Rm 332,10/21/2024 6:15
10206770,62,Rm 3301,10/21/2024 6:41
10206930,50,Rm 2201,10/21/2024 8:01
10192980,9,Rm 3106,10/21/2024 7:31
10205082,23,Rm 2304,10/21/2024 5:15
10205600,18,Rm 204,10/21/2024 5:56
10205931,23,Rm 2303,10/21/2024 5:20
10205718,60,Rm 3105,10/21/2024 8:00
10206679,26,Rm 3204,10/21/2024 5:46
10205001,18,Rm 205,10/21/2024 6:12
10205221,51,Rm 2316,10/21/2024 7:11
10205528,22,Rm 2205,10/21/2024 6:35
10192500,9,Rm 3111,10/21/2024 7:21
10205705,22,Rm 2204,10/21/2024 5:26
10205074,50,Rm 2207,10/21/2024 7:40
10286194,21,Rm 2315,10/21/2024 7:15
10286071,21,Rm 2312,10/21/2024 7:17
10237998,25,Rm 3316,10/21/2024 7:16
10192182,49,Rm 2117,10/21/2024 8:53
10205015,18,Rm 223,10/21/2024 7:35
10205838,59,Rm 325,10/21/2024 5:57
10206746,8,Rm 2104,10/21/2024 6:56
10192214,49,Rm 2106,10/21/2024 8:29
10205677,60,Rm 3103,10/21/2024 7:17
10260615,10,Rm 118,10/21/2024 6:22
10206785,51,Rm 2311,10/21/2024 7:43
10206786,26,Rm 3205,10/21/2024 6:56
10205017,19,Rm 311,10/21/2024 8:50
10206683,26,Rm 3202,10/21/2024 8:29
10238011,25,Rm 3317,10/21/2024 7:10
10205842,59,Rm 321,10/21/2024 6:26
10205648,9,Rm 3118,10/21/2024 5:54
10261759,10,Rm 109,10/21/2024 8:29
10262150,10,Rm 106,10/21/2024 8:14
10206802,22,Rm 2206,10/21/2024 5:19
10205062,7,Rm 112,10/21/2024 5:17
10206483,22,Rm 2211,10/21/2024 7:05
10205536,18,Rm 236,10/21/2024 8:48
10192620,19,Rm 315,10/21/2024 5:56
10205023,7,Rm 101,10/21/2024 5:42
10205100,23,Rm 2301,10/21/2024 7:11
10205034,51,Rm 2311 Den,10/21/2024 6:51
10205827,59,Rm 330,10/21/2024 6:25
10192950,23,Rm 2310,10/21/2024 8:51
10206737,62,Rm 3304,10/21/2024 7:50
9949120,20,Rm 2211A,10/21/2024 8:09
10238002,25,Rm 3319,10/21/2024 6:52
10206804,60,Rm 3104,10/21/2024 6:58
10206733,62,Rm 3303,10/21/2024 7:15
6651369,11,Rm 2108,10/21/2024 8:01
10206470,26,Rm 3209,10/21/2024 7:44
10205009,19,Rm 319,10/21/2024 7:24
10286203,20,Rm 2219,10/21/2024 8:53
10328378,27,Rm 3309 A,10/21/2024 7:25
10192112,49,Rm 2112,10/21/2024 5:32
10206762,26,Rm 3206,10/21/2024 7:37
10205812,26,Rm 3219,10/21/2024 6:39
10192963,58,Rm 203,10/21/2024 8:06
10205031,19,Rm 323,10/21/2024 5:55
10286818,20,Rm 2215,10/21/2024 6:39
10206478,60,Rm 3118,10/21/2024 6:04
6682938,11,Rm 2115,10/21/2024 7:52
10205550,18,Rm 234,10/21/2024 8:51
10192198,51,Rm 2309 Den,10/21/2024 5:50
10205298,51,Rm 2321,10/21/2024 5:50
6598529,11,Rm 2110,10/21/2024 6:10
10206668,9,Rm 3108,10/21/2024 5:58
10205706,9,Rm 3123,10/21/2024 5:57
10192143,22,Rm 2202,10/21/2024 5:48
10205574,19,Rm 306,10/21/2024 6:50
10262008,10,Rm 102,10/21/2024 6:11
10192120,8,Rm 2112,10/21/2024 7:07
10205011,7,Rm 105,10/21/2024 6:46
10205088,23,Rm 2321,10/21/2024 7:32
10205037,18,Rm 222 A,10/21/2024 7:46
10206935,61,Rm 3201,10/21/2024 7:16
10205050,19,Rm 318,10/21/2024 7:13
10206474,22,Rm 2210,10/21/2024 6:04
10205167,58,Rm 223,10/21/2024 8:58
10192151,8,Rm 2105,10/21/2024 9:08
9950518,20,Rm 2203,10/21/2024 9:04
10205144,51,Rm 2314,10/21/2024 7:17
10206756,19,Rm 305,10/21/2024 8:33
10205922,23,Rm 2302,10/21/2024 8:43
10206482,60,Rm 3111,10/21/2024 8:01
10193733,18,Rm 220 B,10/21/2024 6:49
10206255,26,Rm 3214,10/21/2024 5:17
10205833,50,Rm 2219,10/21/2024 8:08
9950685,20,Rm 2209 Left,10/21/2024 7:49
10205014,26,Rm 3229,10/21/2024 6:58
10192946,9,Rm 3101,10/21/2024 8:50
10262155,53,Rm 2209 Right,10/21/2024 8:28
10193743,18,Rm 220 A,10/21/2024 5:52
10206929,26,Rm 3220,10/21/2024 5:22
10206801,26,Rm 3215,10/21/2024 7:23
10205810,59,Rm 301,10/21/2024 7:39
